	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	5.0	5.0	5.0	8.0
birth_weight	3.0	2.0	7.0	11.0
bmi	10.0	10.0	10.0	10.0
dbp	15.0	17.0	13.0	6.0
fvc	7.0	10.0	13.0	5.0
hair_color	13.0	14.0	18.0	13.0
hand_grip_strength	4.0	9.0	5.0	9.0
height	3.0	5.0	9.0	14.0
hip_circ	6.0	11.0	10.0	8.0
household_income	10.0	8.0	10.0	8.0
neuroticism_score	3.0	6.0	7.0	10.0
overall_health	5.0	4.0	6.0	10.0
pack_years_smoking	5.0	4.0	3.0	8.0
pulse_rate	6.0	5.0	10.0	9.0
skin_color	16.0	17.0	10.0	10.0
waist_circ	4.0	3.0	7.0	5.0
years_schooling	4.0	5.0	4.0	7.0
