	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	66	504	4979	517879
birth_weight	83	453	3958	518462
bmi	748	2991	13778	517194
dbp	395	1497	7804	518243
fvc	685	2510	11832	517356
hair_color	1257	2559	8767	518518
hand_grip_strength	197	1039	7650	518109
height	4469	11272	32855	516924
hip_circ	667	2344	11104	517693
household_income	73	637	6348	517961
neuroticism_score	13	248	3422	518143
overall_health	65	633	6087	518166
pack_years_smoking	15	164	3315	518292
pulse_rate	311	1002	5711	518060
skin_color	778	1442	6849	518712
waist_circ	460	2042	10871	517572
years_schooling	60	478	5540	517857
