	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	70	490	4807	490560
birth_weight	76	419	3658	490984
bmi	667	2585	11935	489870
dbp	350	1387	7223	490771
fvc	583	2103	9469	490067
hair_color	1141	2139	6495	491162
hand_grip_strength	161	841	6268	490672
height	3829	8582	22842	489438
hip_circ	602	2130	10266	490184
household_income	54	458	4864	490511
neuroticism_score	66	500	4920	490456
overall_health	57	574	5373	490627
pack_years_smoking	16	93	2383	490856
pulse_rate	288	871	5213	490750
skin_color	728	1263	4772	491160
waist_circ	437	1952	10183	490054
years_schooling	51	421	4682	490548
