	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	2.0	4.0	9.0	7.0
birth_weight	2.0	4.0	6.0	7.0
bmi	8.0	8.0	7.0	6.0
dbp	10.0	14.0	11.0	10.0
fvc	6.0	9.0	11.0	9.0
hair_color	15.0	13.0	17.0	18.0
hand_grip_strength	4.0	4.0	8.0	9.0
height	6.0	7.0	10.0	12.0
hip_circ	6.0	10.0	13.0	6.0
household_income	2.0	8.0	12.0	10.0
neuroticism_score	1.0	0.0	0.0	1.0
overall_health	0.0	1.0	1.0	3.0
pack_years_smoking	0.0	0.0	0.0	4.0
pulse_rate	0.0	0.0	1.0	0.0
skin_color	4.0	4.0	6.0	2.0
waist_circ	2.0	2.0	0.0	1.0
years_schooling	1.0	3.0	1.0	3.0
