	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	2.1153932846319536	1.285544197301454	2.0432473445310015	0.773726443032711
birth_weight	2.4296547751911053	2.043484020766044	2.0345998419276334	0.5654452803401105
bmi	3.2436729292976474	2.323117796728003	2.2643997570096612	0.7126489272504914
dbp	5.47172817472758	1.4843666573633045	1.629795107860441	0.6486563222661835
fvc	2.928850145563941	2.848562500177313	1.6329652596251065	1.0599069456575305
hair_color	2.649493026308794	4.086667993224444	3.000207240194681	0.8949953259595297
hand_grip_strength	1.7265422755719233	2.1874594032024284	2.068258965775365	0.7493357334103555
height	3.3224666276300288	1.6822231372057324	2.5745380966815903	1.6283305979816756
hip_circ	1.6151982414277555	1.495779201792953	1.8515328952134362	0.6710683215320631
household_income	4.318424931759511	2.903427498117195	2.60269604643338	0.7466651753733159
neuroticism_score	2.375158591994322	2.320027932670085	1.7503084887043063	0.6537432992367016
overall_health	2.23782047814163	13.754418456420396	2.0057487660847664	0.6706815195300078
pack_years_smoking	5.475441290810385	2.1098651076719834	1.956279861090277	0.5656890827965441
pulse_rate	2.6068090691324604	5.452512327054479	3.9360264292945186	0.577405341344571
skin_color	7.354929968174201	1.5101593740973354	3.27330010424837	1.1786132273873604
waist_circ	1.7115218824088583	1.956811993791263	3.319913185411628	0.9359611470446311
years_schooling	3.3199539116184016	2.558141596778832	2.443751061815555	0.7260664861005445
