	1.0
alcohol_intake_freq	0.7759133491471274
birth_weight	0.09515578687046235
bmi	0.9356576053099154
dbp	0.4203679609206756
fvc	0.16307523846986718
hair_color	0.8007830447365607
hand_grip_strength	0.8984780278113267
height	0.7067991929028006
hip_circ	0.7991272452011386
household_income	0.21704385765800768
neuroticism_score	0.4227797448467584
overall_health	0.5829882178229219
pack_years_smoking	1.2699490557603696
pulse_rate	0.536016161773747
skin_color	0.39255731001924343
waist_circ	0.9264170770415026
years_schooling	0.9489971091592715
