	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	17	132	2227	517876
birth_weight	16	100	1976	518456
bmi	143	730	5250	517188
dbp	41	293	2887	518241
fvc	140	617	4332	517354
hair_color	682	1193	3922	518512
hand_grip_strength	33	226	2923	518109
height	1463	3724	11811	516917
hip_circ	116	577	4477	517689
household_income	15	109	2338	517958
neuroticism_score	7	127	2334	518140
overall_health	2	84	2453	518163
pack_years_smoking	7	41	1568	518289
pulse_rate	119	368	2788	518059
skin_color	453	736	2830	518708
waist_circ	102	532	4551	517567
years_schooling	12	112	2143	517851
