	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	64	482	4736	516575
birth_weight	82	455	3946	517344
bmi	759	2915	12766	515981
dbp	445	1544	7774	517100
fvc	662	2330	10190	516045
hair_color	1392	2616	7506	516904
hand_grip_strength	179	939	6722	516911
height	4725	10324	25811	515469
hip_circ	709	2413	11025	516414
household_income	50	445	4755	516700
neuroticism_score	93	599	5282	516968
overall_health	59	569	5471	516928
pack_years_smoking	17	106	2700	517008
pulse_rate	300	927	5460	516914
skin_color	799	1427	5251	517224
waist_circ	471	2106	10655	516349
years_schooling	45	403	4690	516677
