	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	72	512	5114	517880
birth_weight	81	443	3909	518462
bmi	685	2689	12503	517194
dbp	362	1426	7599	518243
fvc	598	2177	9947	517356
hair_color	1187	2240	6882	518518
hand_grip_strength	163	873	6644	518109
height	3947	8929	23978	516924
hip_circ	609	2203	10788	517693
household_income	55	479	5141	517961
neuroticism_score	67	521	5217	518143
overall_health	60	603	5719	518166
pack_years_smoking	17	95	2578	518292
pulse_rate	293	908	5503	518060
skin_color	758	1319	5096	518712
waist_circ	448	2032	10715	517571
years_schooling	52	436	5006	517857
