	1.0
alcohol_intake_freq	0.7080850032816658
birth_weight	0.0983190918713113
bmi	0.7196491737636161
dbp	0.2944095195139976
fvc	0.15012343751341722
hair_color	0.8531775371098748
hand_grip_strength	0.7155034170828405
height	1.0849768343089194
hip_circ	0.6710409232551109
household_income	0.1552806172676227
neuroticism_score	0.38252209436583934
overall_health	0.47912008377649823
pack_years_smoking	1.3438404927634815
pulse_rate	0.44315820415532237
skin_color	0.3365899734601893
waist_circ	0.7859076880205446
years_schooling	0.6920056513851779
