	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	14	104	2190	517876
birth_weight	28	139	2021	518456
bmi	140	737	5365	517189
dbp	78	381	3465	518241
fvc	176	679	4549	517353
hair_color	676	1145	3737	518513
hand_grip_strength	23	202	2926	518109
height	1408	3677	11683	516916
hip_circ	146	653	4673	517689
household_income	7	114	2432	517958
neuroticism_score	11	147	2364	518140
overall_health	5	138	2536	518164
pack_years_smoking	7	40	1498	518288
pulse_rate	81	284	2621	518059
skin_color	476	750	2845	518708
waist_circ	93	517	4422	517567
years_schooling	10	92	2259	517853
