	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	64	482	4736	516572
birth_weight	82	455	3946	517338
bmi	759	2915	12766	515976
dbp	445	1544	7774	517098
fvc	662	2330	10190	516043
hair_color	1392	2616	7506	516899
hand_grip_strength	179	939	6722	516911
height	4725	10324	25811	515462
hip_circ	709	2413	11025	516410
household_income	50	445	4755	516697
neuroticism_score	93	599	5282	516965
overall_health	59	569	5471	516926
pack_years_smoking	17	106	2700	517005
pulse_rate	300	927	5460	516913
skin_color	799	1427	5251	517220
waist_circ	471	2106	10655	516344
years_schooling	45	403	4690	516673
