	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	0.0	0.0	0.0	490556
birth_weight	0.0	0.0	0.0	490977
bmi	0.0	0.0	0.0	489866
dbp	0.0	0.0	0.0	490767
fvc	0.0	0.0	0.0	490064
hair_color	0.0	0.0	0.0	491160
hand_grip_strength	0.0	0.0	0.0	490672
height	0.0	0.0	0.0	489433
hip_circ	0.0	0.0	0.0	490180
household_income	0.0	0.0	0.0	490507
neuroticism_score	0.0	0.0	0.0	490453
overall_health	0.0	0.0	0.0	490625
pack_years_smoking	0.0	0.0	0.0	490852
pulse_rate	0.0	0.0	0.0	490749
skin_color	0.0	0.0	0.0	491156
waist_circ	0.0	0.0	0.0	490049
years_schooling	0.0	0.0	0.0	490545
