	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	63	455	4687	516520
birth_weight	83	454	3901	517321
bmi	704	2795	12610	515978
dbp	394	1435	7606	517072
fvc	628	2211	10015	516169
hair_color	1377	2567	7371	516846
hand_grip_strength	158	887	6514	516999
height	4604	10158	25517	515517
hip_circ	650	2312	10903	516464
household_income	48	417	4563	516837
neuroticism_score	61	517	5128	517028
overall_health	55	559	5378	517007
pack_years_smoking	18	92	2577	517175
pulse_rate	304	926	5444	516890
skin_color	792	1417	5217	517196
waist_circ	469	2077	10604	516244
years_schooling	45	412	4645	516740
