	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	0.006145560368773298	0.021916759294237382	0.01239135035262199	0.019779232540843673
birth_weight	0.029807709007528417	0.023963771699846283	0.013035178573746758	0.019201075540380343
bmi	0.003939406563428222	0.03398152468231317	0.04243167813901229	0.011996975533210058
dbp	0.003494082933994973	0.003930624817204946	0.0076055256086956955	0.011770256339276964
fvc	0.0064148905454975615	0.007388862648126593	0.02403085813283682	0.011532284181656954
hair_color	0.0014044489993438052	0.0021173917855729267	0.004185216355273107	0.01998759685534744
hand_grip_strength	0.003121517534490518	0.006236202240170395	0.013683008229025939	0.01697357065000074
height	0.003052118266271155	0.004595184221364354	0.02294164950546639	0.011289097276895785
hip_circ	0.007510521377135407	0.006178406303426246	0.006109138985135472	0.011123206634912874
household_income	0.032963207758022986	0.01467934919607434	0.01692648209130218	0.014564863689146643
neuroticism_score	0.015355079476474905	0.014780034192329608	0.008354683684504167	0.019715919722385254
overall_health	0.024189280795881854	0.04589408612221374	0.008536416083615295	0.028043376394541443
pack_years_smoking	0.017207942089424343	0.023541552660761068	0.015936126399355082	0.016974822556481646
pulse_rate	0.034543373133797184	0.031973287549024336	0.010643922024630544	0.017119979087600424
skin_color	0.0012722824883740099	0.0017700233262260925	0.0030748623180929767	0.01641910054980859
waist_circ	0.00463985903849583	0.006948567106375402	0.011753901141382767	0.01456015348870921
years_schooling	0.010346603633706767	0.014650532035285343	0.013110703889817252	0.017699316540567635
