	1e-08	1e-05	0.001	1.0
alcohol_intake_freq	17	132	2227	517880
birth_weight	16	100	1976	518462
bmi	143	730	5250	517193
dbp	41	293	2887	518243
fvc	140	617	4332	517356
hair_color	682	1193	3922	518517
hand_grip_strength	33	226	2923	518109
height	1463	3724	11811	516924
hip_circ	116	577	4477	517693
household_income	15	109	2338	517961
neuroticism_score	7	127	2334	518143
overall_health	2	84	2453	518165
pack_years_smoking	7	41	1568	518292
pulse_rate	119	368	2788	518060
skin_color	453	736	2831	518712
waist_circ	102	532	4551	517572
years_schooling	12	112	2143	517855
