	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.1892	0.0104	-0.0021	0.0016	-0.0004	0.002	-0.0002	0.001	0.0007	0.0022	0.0001	0.0005	0.0	-0.0001	0.0004
direct_vc_estimate_se	0.0528	0.0256	0.0113	0.0081	0.0018	0.0016	0.0011	0.001	0.0008	0.0008	0.0008	0.0008	0.0007	0.0006	0.0007
direct_vc_pvals	0.058	0.495	0.971	0.518	0.97	0.339	0.908	0.374	0.362	0.111	0.605	0.489	0.58	0.919	0.395
upper975_perm_direct	0.2608	0.176	0.0777	0.0384	0.0147	0.0119	0.0057	0.0075	0.0048	0.0049	0.0045	0.0069	0.0033	0.0032	0.0037
lower025_perm_direct	-0.0116	-0.0056	-0.0024	-0.0018	-0.0004	-0.0004	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001
sad_vc_estimate	0.0039	-0.0042	-0.0015	0.0024	-0.0003	-0.0003	-0.0001	-0.0002	0.001	0.0	-0.0002	0.0	0.0003	-0.0001	-0.0001
sad_vc_estimate_se	0.0561	0.0273	0.012	0.0087	0.002	0.0017	0.0012	0.001	0.0008	0.0008	0.0008	0.0009	0.0007	0.0007	0.0007
sad_vc_pvals	0.329	0.729	0.57	0.135	0.793	0.98	0.573	0.711	0.041	0.43	0.898	0.416	0.131	0.586	0.519
upper975_perm_sad	0.0658	0.0286	0.0106	0.0087	0.0031	0.0027	0.0014	0.0011	0.0012	0.0012	0.0013	0.0014	0.0007	0.0006	0.0007
lower025_perm_sad	-0.0125	-0.0062	-0.0027	-0.0019	-0.0004	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0002
covar_vc_estimate	-0.088	0.0178	0.0039	-0.0041	0.0007	0.0006	0.0004	0.0008	-0.0016	-0.0009	0.0002	-0.0004	0.0008	0.0003	-0.0002
covar_vc_estimate_se	0.2332	0.1538	0.0988	0.0833	0.039	0.0367	0.0303	0.028	0.0255	0.0256	0.0255	0.0258	0.0233	0.0226	0.0231
covar_vc_pvals	0.082	0.231	0.436	0.223	0.359	0.37	0.494	0.104	0.093	0.166	0.451	0.338	0.081	0.323	0.239
upper975_perm_covar	0.0747	0.0537	0.0244	0.0115	0.0036	0.0028	0.0027	0.0015	0.0016	0.0013	0.0016	0.0011	0.0014	0.0013	0.0014
lower025_perm_covar	-0.1857	-0.0863	-0.0391	-0.0221	-0.0102	-0.0088	-0.0036	-0.0045	-0.0034	-0.0036	-0.0033	-0.0043	-0.0018	-0.0018	-0.0018
