	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.411	0.0069	0.005	-0.0029	-0.0006	0.0064	-0.0	-0.0004	-0.0002	0.0032	0.0013	-0.0003	-0.0002	0.0005	0.0024
direct_vc_estimate_se	0.2021	0.0933	0.0434	0.0311	0.0068	0.0062	0.0043	0.0035	0.0032	0.0029	0.0029	0.0028	0.0027	0.0027	0.0025
direct_vc_pvals	0.007	0.453	0.379	0.749	0.76	0.044	0.529	0.893	0.698	0.039	0.217	0.968	0.682	0.338	0.057
upper975_perm_direct	0.5033	0.2808	0.133	0.0719	0.0217	0.0164	0.0097	0.0106	0.0086	0.008	0.0082	0.008	0.0066	0.0072	0.0063
lower025_perm_direct	-0.0492	-0.0223	-0.0105	-0.0075	-0.0016	-0.0015	-0.001	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006
sad_vc_estimate	-0.0103	0.0379	-0.0053	0.0273	0.0001	0.0018	-0.0004	-0.0004	-0.0002	0.0001	0.0024	0.0004	0.0015	-0.0002	0.0001
sad_vc_estimate_se	0.2103	0.0973	0.0453	0.0324	0.007	0.0064	0.0044	0.0036	0.0033	0.003	0.003	0.0029	0.0028	0.0028	0.0026
sad_vc_pvals	0.482	0.077	0.962	0.01	0.398	0.118	0.642	0.829	0.565	0.29	0.021	0.196	0.043	0.539	0.29
upper975_perm_sad	0.2405	0.1403	0.0553	0.0403	0.0102	0.0075	0.0049	0.0039	0.0044	0.0034	0.0045	0.0035	0.0038	0.0039	0.0032
lower025_perm_sad	-0.0512	-0.0237	-0.0109	-0.0079	-0.0017	-0.0015	-0.0011	-0.0009	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006
covar_vc_estimate	-0.1111	0.0814	0.0094	-0.0027	0.0025	0.0101	0.0005	0.0009	0.0011	0.0033	0.0049	0.0006	0.0016	-0.0001	-0.0016
covar_vc_estimate_se	0.5121	0.2839	0.1698	0.1383	0.0591	0.0563	0.0464	0.0418	0.0401	0.0379	0.0381	0.0376	0.0369	0.0364	0.0355
covar_vc_pvals	0.133	0.0	0.313	0.306	0.064	0.0	0.487	0.175	0.092	0.0	0.0	0.357	0.006	0.38	0.122
upper975_perm_covar	0.1509	0.0802	0.0378	0.0267	0.006	0.0055	0.0035	0.0029	0.0028	0.0021	0.0024	0.0026	0.0023	0.0021	0.0023
lower025_perm_covar	-0.6376	-0.2993	-0.1386	-0.0885	-0.0259	-0.0184	-0.0115	-0.0109	-0.0111	-0.0085	-0.01	-0.0084	-0.0084	-0.009	-0.0072
