	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.1524	0.1782	0.0192	-0.0127	-0.0026	-0.0004	0.0003	-0.0005	-0.0014	0.0023	0.0027	0.0039	-0.001	-0.0	0.005
direct_vc_estimate_se	1.6494	0.749	0.3809	0.2773	0.059	0.0446	0.0434	0.0349	0.027	0.0255	0.0231	0.0226	0.0218	0.0221	0.0215
direct_vc_pvals	0.109	0.036	0.214	0.748	0.726	0.422	0.335	0.434	0.907	0.13	0.121	0.088	0.799	0.42	0.043
upper975_perm_direct	2.5715	1.3296	0.673	0.6011	0.1159	0.0802	0.0666	0.0676	0.0553	0.0431	0.0408	0.0475	0.0355	0.041	0.0397
lower025_perm_direct	-0.5739	-0.2594	-0.132	-0.0956	-0.0203	-0.0153	-0.015	-0.0121	-0.0094	-0.0089	-0.008	-0.0079	-0.0075	-0.0076	-0.0075
sad_vc_estimate	-0.0897	1.2422	-0.0105	0.0841	-0.0029	0.0442	-0.0007	0.0067	-0.0009	-0.0007	0.0073	0.0013	0.0066	0.0032	0.0003
sad_vc_estimate_se	1.693	0.7693	0.3915	0.2852	0.0606	0.0458	0.0446	0.0359	0.0277	0.0261	0.0238	0.0232	0.0224	0.0227	0.0221
sad_vc_pvals	0.954	0.0	0.524	0.033	0.793	0.0	0.41	0.055	0.558	0.523	0.019	0.227	0.018	0.114	0.313
upper975_perm_sad	2.319	1.263	0.6006	0.5754	0.1038	0.0792	0.0608	0.0685	0.0499	0.042	0.0393	0.047	0.0353	0.0442	0.0406
lower025_perm_sad	-0.5875	-0.2683	-0.1366	-0.0981	-0.0209	-0.0156	-0.0156	-0.0123	-0.0097	-0.009	-0.0082	-0.0081	-0.0078	-0.0079	-0.0077
covar_vc_estimate	0.158	-0.9782	0.0002	0.001	0.0055	-0.0146	0.0004	-0.0032	0.0031	0.0058	0.0141	-0.0048	0.0005	-0.0021	-0.0037
covar_vc_estimate_se	3.353	1.5517	0.8146	0.6069	0.1638	0.1331	0.1304	0.1118	0.0938	0.0903	0.0848	0.0835	0.0817	0.0824	0.0809
covar_vc_pvals	0.282	0.001	0.365	0.403	0.27	0.061	0.362	0.214	0.011	0.0	0.0	0.146	0.419	0.262	0.144
upper975_perm_covar	1.1537	0.5301	0.2707	0.1964	0.0414	0.0323	0.0307	0.0246	0.0195	0.0183	0.0166	0.0163	0.0156	0.0158	0.0155
lower025_perm_covar	-4.9608	-2.494	-1.2965	-1.1498	-0.2202	-0.1526	-0.1155	-0.134	-0.0992	-0.0834	-0.0781	-0.0979	-0.0716	-0.0827	-0.0794
