	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0104	0.0386	0.0049	0.0001	0.0054	0.0072	0.0008	-0.0001	0.0081	-0.0006	0.0121	0.0044	0.0083	0.0009	-0.0004
direct_vc_estimate_se	0.014	0.0068	0.0046	0.0045	0.0043	0.0047	0.0045	0.0045	0.0045	0.0041	0.004	0.0045	0.0044	0.0041	0.004
direct_vc_pvals	0.31	0.004	0.22	0.576	0.159	0.177	0.412	0.699	0.148	0.986	0.043	0.307	0.126	0.442	0.802
upper975_perm_direct	0.0633	0.0285	0.0193	0.0163	0.0154	0.0237	0.015	0.0167	0.0237	0.0149	0.0174	0.0255	0.0235	0.0168	0.0192
lower025_perm_direct	-0.0027	-0.0013	-0.0009	-0.0009	-0.0008	-0.0009	-0.0009	-0.0009	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008
sad_vc_estimate	0.0027	-0.0008	0.0003	-0.0003	0.0002	-0.0003	0.0003	-0.0007	-0.0007	0.0014	0.0024	0.0044	-0.0003	-0.0001	-0.0006
sad_vc_estimate_se	0.0147	0.0072	0.0049	0.0048	0.0046	0.005	0.0047	0.0048	0.0047	0.0043	0.0042	0.0048	0.0046	0.0043	0.0043
sad_vc_pvals	0.269	0.64	0.316	0.524	0.305	0.526	0.287	0.979	0.8	0.119	0.048	0.041	0.57	0.439	0.752
upper975_perm_sad	0.0207	0.007	0.005	0.0055	0.0046	0.0054	0.0043	0.0052	0.0049	0.0038	0.0038	0.0063	0.0071	0.0056	0.0076
lower025_perm_sad	-0.0029	-0.0014	-0.001	-0.001	-0.0009	-0.001	-0.001	-0.001	-0.001	-0.0009	-0.0008	-0.0009	-0.0009	-0.0009	-0.0008
covar_vc_estimate	0.0202	0.0094	0.0063	0.0002	-0.0033	-0.0022	-0.001	0.0015	0.003	0.0014	-0.0113	-0.0088	-0.0023	-0.0007	0.001
covar_vc_estimate_se	0.0998	0.0684	0.0558	0.0552	0.0541	0.0567	0.0549	0.0553	0.0551	0.0526	0.0519	0.0553	0.0545	0.0523	0.0521
covar_vc_pvals	0.008	0.007	0.006	0.397	0.142	0.247	0.204	0.318	0.085	0.315	0.019	0.099	0.26	0.333	0.415
upper975_perm_covar	0.0178	0.0078	0.005	0.0053	0.0044	0.0059	0.0053	0.0055	0.0057	0.0058	0.0044	0.0058	0.0057	0.0041	0.0057
lower025_perm_covar	-0.0508	-0.0209	-0.0143	-0.0125	-0.0109	-0.018	-0.0097	-0.0123	-0.017	-0.0103	-0.0122	-0.0193	-0.0185	-0.0143	-0.0176
