	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.4137	0.0127	-0.0001	-0.0016	-0.0005	0.0044	-0.0002	-0.0001	-0.0002	0.0032	0.0005	0.0002	-0.0001	-0.0001	0.0015
direct_vc_estimate_se	0.0977	0.0451	0.0201	0.0148	0.0031	0.003	0.0021	0.0017	0.0016	0.0014	0.0014	0.0014	0.0012	0.0012	0.0012
direct_vc_pvals	0.007	0.456	0.628	0.775	0.998	0.161	0.709	0.697	0.938	0.049	0.404	0.536	0.726	0.781	0.115
upper975_perm_direct	0.3619	0.2229	0.1027	0.0528	0.0205	0.0152	0.0065	0.0092	0.0061	0.0057	0.0068	0.0078	0.0048	0.0045	0.0043
lower025_perm_direct	-0.022	-0.01	-0.0045	-0.0033	-0.0007	-0.0007	-0.0005	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
sad_vc_estimate	0.0122	-0.0035	-0.0032	0.0031	0.0007	0.0002	-0.0002	-0.0003	0.0002	0.0	-0.0002	-0.0001	-0.0001	0.0002	0.0
sad_vc_estimate_se	0.1029	0.0475	0.0212	0.0156	0.0033	0.0032	0.0022	0.0018	0.0016	0.0015	0.0015	0.0014	0.0013	0.0013	0.0013
sad_vc_pvals	0.221	0.516	0.831	0.17	0.29	0.34	0.588	0.971	0.285	0.356	0.76	0.544	0.505	0.198	0.33
upper975_perm_sad	0.1241	0.0679	0.0213	0.0169	0.0068	0.0048	0.0022	0.0022	0.0025	0.0016	0.0023	0.0019	0.0017	0.0016	0.0012
lower025_perm_sad	-0.0236	-0.0109	-0.0048	-0.0035	-0.0007	-0.0007	-0.0005	-0.0004	-0.0004	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003	-0.0003
covar_vc_estimate	-0.1896	0.0318	0.0077	0.0087	0.001	0.0046	0.0009	0.0005	0.0006	-0.0014	0.0008	0.0009	0.0006	0.0001	-0.0008
covar_vc_estimate_se	0.3203	0.1945	0.1219	0.1031	0.0458	0.0452	0.0371	0.0336	0.0323	0.0305	0.0309	0.0302	0.0287	0.0281	0.0283
covar_vc_pvals	0.043	0.065	0.185	0.076	0.297	0.005	0.154	0.292	0.195	0.13	0.106	0.061	0.123	0.383	0.126
upper975_perm_covar	0.097	0.0576	0.0204	0.0158	0.0044	0.0039	0.0024	0.002	0.0018	0.0014	0.0018	0.0017	0.0014	0.0016	0.0018
lower025_perm_covar	-0.3485	-0.1886	-0.0768	-0.0455	-0.0173	-0.0111	-0.0055	-0.0075	-0.0059	-0.0044	-0.0055	-0.0063	-0.0037	-0.0042	-0.0032
