	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0025	0.0152	-0.0033	0.0069	0.0083	-0.0033	-0.0027	-0.0029	0.0099	-0.0007	0.0057	-0.0023	0.0017	-0.0009	-0.0025
direct_vc_estimate_se	0.2054	0.0933	0.0718	0.0665	0.0642	0.0629	0.0626	0.0626	0.0625	0.0624	0.0622	0.0624	0.0621	0.0621	0.0619
direct_vc_pvals	0.358	0.075	0.793	0.147	0.101	0.966	0.704	0.773	0.12	0.468	0.161	0.684	0.298	0.467	0.714
upper975_perm_direct	0.2698	0.1012	0.084	0.074	0.0703	0.0813	0.0736	0.0758	0.095	0.0748	0.0672	0.0751	0.0734	0.0746	0.0748
lower025_perm_direct	-0.0414	-0.0185	-0.0142	-0.0133	-0.0128	-0.0126	-0.0125	-0.0125	-0.0125	-0.0126	-0.0125	-0.0125	-0.0124	-0.0123	-0.0123
sad_vc_estimate	0.0967	0.3646	0.017	-0.0035	-0.0026	-0.0026	-0.0025	0.0004	0.005	0.0027	0.0043	-0.0034	-0.0033	-0.0017	0.0015
sad_vc_estimate_se	0.2148	0.0976	0.0753	0.0696	0.0674	0.0658	0.0655	0.0656	0.0655	0.0653	0.0651	0.0653	0.065	0.065	0.0648
sad_vc_pvals	0.006	0.0	0.048	0.842	0.648	0.664	0.643	0.351	0.219	0.251	0.183	0.987	0.869	0.533	0.3
upper975_perm_sad	0.247	0.0898	0.0805	0.068	0.0642	0.0788	0.0682	0.0724	0.0927	0.0746	0.0673	0.0675	0.0647	0.0684	0.069
lower025_perm_sad	-0.0428	-0.0194	-0.0149	-0.0141	-0.0135	-0.0131	-0.0131	-0.0131	-0.013	-0.013	-0.0131	-0.0129	-0.013	-0.013	-0.013
covar_vc_estimate	-0.0543	0.1819	0.0134	0.0097	0.0	0.0064	0.008	0.0042	-0.0145	-0.0014	-0.0101	0.0066	0.0052	0.0025	0.0027
covar_vc_estimate_se	0.4623	0.235	0.1907	0.1796	0.175	0.172	0.1714	0.1715	0.1712	0.1711	0.1706	0.171	0.1704	0.1704	0.17
covar_vc_pvals	0.101	0.0	0.0	0.001	0.378	0.175	0.007	0.428	0.158	0.327	0.158	0.087	0.343	0.467	0.479
upper975_perm_covar	0.0894	0.042	0.0306	0.0295	0.028	0.0277	0.0266	0.0275	0.0269	0.0274	0.0267	0.0273	0.0272	0.0266	0.0268
lower025_perm_covar	-0.4921	-0.1752	-0.1564	-0.1325	-0.1269	-0.1441	-0.1327	-0.1389	-0.1858	-0.1481	-0.1271	-0.1394	-0.1307	-0.1323	-0.1392
