	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.9757	0.113	0.0658	0.3164	0.8384	0.4935	-0.0835	-0.1114	0.0727	0.3431	0.0428	-0.0914	-0.1546	1.1867	0.4108
direct_vc_estimate_se	0.0104	0.0184	0.0062	0.0193	0.0303	0.0744	0.0187	0.0214	0.0356	0.0098	0.0085	0.0512	0.0291	0.0798	0.0479
direct_vc_pvals	0.017	0.432	0.292	0.176	0.051	0.588	0.933	0.884	0.773	0.094	0.501	0.936	0.962	0.227	0.393
upper95_perm_direct	0.8177	0.7377	0.3155	0.6376	1.0471	1.8111	0.6677	1.1383	0.9456	0.542	0.7156	1.4995	1.1725	2.301	0.9789
lower0_perm_direct	-0.0892	-0.1536	-0.0537	-0.157	-0.2234	-0.3861	-0.1428	-0.1842	-0.2214	-0.0795	-0.0739	-0.3651	-0.2375	-0.5289	-0.2152
sad_vc_estimate	1.5795	0.2524	0.0808	0.4001	0.7432	0.4882	-0.1022	-0.1019	0.0383	0.4237	0.0537	-0.1485	-0.1548	1.2787	0.5022
sad_vc_estimate_se	0.0104	0.0184	0.0062	0.0193	0.0304	0.0744	0.0187	0.0214	0.0356	0.0098	0.0085	0.0512	0.0291	0.0798	0.0479
sad_vc_pvals	0.017	0.279	0.298	0.151	0.084	0.59	0.949	0.825	0.797	0.103	0.518	0.948	0.949	0.221	0.264
upper95_perm_sad	1.3593	0.9209	0.3572	0.7439	1.1338	1.7764	0.9241	1.3453	0.971	0.6905	0.8429	1.52	1.3686	2.4867	1.0452
lower0_perm_sad	-0.0881	-0.1497	-0.0556	-0.157	-0.2254	-0.4329	-0.1631	-0.1824	-0.2663	-0.0815	-0.0731	-0.4018	-0.2309	-0.5737	-0.2072
covar_vc_estimate	-2.4863	-0.3482	-0.1461	-0.7127	-1.5793	-0.9818	0.1924	0.2147	-0.1099	-0.7631	-0.0962	0.2446	0.3094	-2.4641	-0.9102
covar_vc_estimate_se	0.49	0.651	0.3779	0.6665	0.837	1.3156	0.6566	0.7028	0.9073	0.4757	0.4417	1.0885	0.8196	1.3633	1.0527
covar_vc_pvals	0.006	0.352	0.32	0.095	0.02	0.333	0.007	0.029	0.1	0.052	0.344	0.005	0.001	0.14	0.295
upper975_perm_covar	0.1541	0.2179	0.0822	0.144	0.2031	-0.1464	0.1791	0.2662	0.0615	0.1259	0.103	0.1776	0.2417	0.2519	-0.1713
lower025_perm_covar	-2.0043	-1.5501	-0.6212	-1.2191	-1.9468	-3.3249	-1.3891	-2.0735	-1.7492	-1.1599	-1.3923	-2.6273	-2.2435	-4.1652	-1.8671
