	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.1474	0.1726	0.0185	-0.0124	-0.0026	-0.0003	0.0003	-0.0005	-0.0014	0.0022	0.0026	0.0038	-0.001	-0.0	0.0048
direct_vc_estimate_se	1.6295	0.7408	0.3772	0.2744	0.0585	0.0441	0.0428	0.0345	0.0266	0.0252	0.0229	0.0223	0.0216	0.0219	0.0213
direct_vc_pvals	0.138	0.043	0.214	0.745	0.725	0.476	0.28	0.441	0.908	0.149	0.128	0.093	0.76	0.447	0.05
upper975_perm_direct	2.7677	1.2594	0.8227	0.5646	0.1089	0.0829	0.0717	0.0568	0.05	0.0431	0.0446	0.0457	0.038	0.0412	0.0411
lower025_perm_direct	-0.553	-0.2521	-0.1284	-0.0926	-0.0198	-0.015	-0.0148	-0.0119	-0.0091	-0.0086	-0.0078	-0.0076	-0.0074	-0.0074	-0.0073
sad_vc_estimate	-0.0875	1.2281	-0.0107	0.0841	-0.0028	0.044	-0.0007	0.0067	-0.0009	-0.0006	0.0075	0.0013	0.0066	0.003	0.0002
sad_vc_estimate_se	1.6737	0.7614	0.388	0.2824	0.0601	0.0453	0.0441	0.0355	0.0274	0.0259	0.0235	0.023	0.0222	0.0225	0.0218
sad_vc_pvals	0.973	0.0	0.523	0.026	0.756	0.0	0.387	0.045	0.569	0.521	0.021	0.215	0.016	0.1	0.34
upper975_perm_sad	2.7304	1.2511	0.6973	0.5124	0.1006	0.0781	0.0649	0.0504	0.0449	0.0409	0.04	0.0413	0.0342	0.041	0.0372
lower025_perm_sad	-0.5706	-0.2595	-0.1323	-0.0953	-0.0205	-0.0155	-0.0152	-0.0121	-0.0094	-0.0088	-0.0081	-0.0079	-0.0076	-0.0077	-0.0074
covar_vc_estimate	0.16	-0.9578	0.0011	0.0008	0.0053	-0.0144	0.0004	-0.0031	0.003	0.0058	0.014	-0.0046	0.0005	-0.002	-0.0034
covar_vc_estimate_se	3.3123	1.5345	0.8064	0.6002	0.162	0.1314	0.1287	0.1105	0.0926	0.0892	0.0837	0.0825	0.0806	0.0814	0.0799
covar_vc_pvals	0.224	0.001	0.356	0.389	0.278	0.076	0.313	0.188	0.009	0.0	0.0	0.138	0.411	0.258	0.169
upper975_perm_covar	1.123	0.5143	0.2635	0.1917	0.0408	0.0313	0.0304	0.0243	0.0187	0.0176	0.0164	0.0157	0.0152	0.0153	0.0151
lower025_perm_covar	-5.0952	-2.4608	-1.4459	-1.065	-0.2089	-0.1578	-0.1356	-0.1079	-0.0924	-0.0867	-0.081	-0.0821	-0.0713	-0.0808	-0.0796
