	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0082	0.0526	0.0172	0.003	0.0205	0.0013	-0.0005	-0.001	0.0072	-0.0006	0.0009	0.002	0.0033	-0.001	0.0032
direct_vc_estimate_se	0.0287	0.0136	0.0094	0.0092	0.0085	0.0091	0.0097	0.009	0.009	0.0081	0.0082	0.0089	0.0089	0.0084	0.0083
direct_vc_pvals	0.262	0.0	0.016	0.279	0.006	0.417	0.653	0.873	0.136	0.718	0.377	0.366	0.235	0.955	0.266
upper975_perm_direct	0.067	0.0313	0.0234	0.023	0.0205	0.0257	0.0211	0.0224	0.0263	0.0184	0.0195	0.0276	0.0252	0.0192	0.0254
lower025_perm_direct	-0.0053	-0.0025	-0.0017	-0.0017	-0.0016	-0.0017	-0.0018	-0.0017	-0.0017	-0.0015	-0.0015	-0.0017	-0.0017	-0.0016	-0.0015
sad_vc_estimate	0.0013	0.0291	0.0019	-0.0011	0.0002	-0.0008	-0.0012	-0.0009	-0.001	0.0016	-0.0008	-0.0011	-0.0008	0.0015	-0.0009
sad_vc_estimate_se	0.0301	0.0143	0.0098	0.0097	0.009	0.0096	0.0102	0.0095	0.0094	0.0086	0.0086	0.0094	0.0093	0.0088	0.0088
sad_vc_pvals	0.308	0.0	0.155	0.871	0.368	0.714	0.907	0.725	0.885	0.159	0.722	0.925	0.664	0.182	0.835
upper975_perm_sad	0.0321	0.0129	0.0111	0.009	0.0086	0.0118	0.008	0.0093	0.0115	0.0078	0.0094	0.0096	0.0101	0.0095	0.0117
lower025_perm_sad	-0.0056	-0.0026	-0.0018	-0.0018	-0.0016	-0.0018	-0.0019	-0.0017	-0.0017	-0.0016	-0.0016	-0.0018	-0.0017	-0.0017	-0.0016
covar_vc_estimate	0.0213	0.0848	0.017	0.0012	-0.0084	0.0005	0.002	0.0023	0.0008	0.0038	0.0008	0.0025	0.0042	0.0022	0.0009
covar_vc_estimate_se	0.131	0.0855	0.0699	0.0692	0.0664	0.0687	0.0711	0.0684	0.0681	0.0648	0.065	0.0681	0.0677	0.0659	0.0656
covar_vc_pvals	0.005	0.0	0.0	0.468	0.065	0.454	0.341	0.222	0.49	0.032	0.437	0.172	0.062	0.193	0.489
upper975_perm_covar	0.0216	0.0116	0.0069	0.007	0.007	0.008	0.0073	0.0078	0.0073	0.0063	0.0069	0.0075	0.0081	0.0067	0.0063
lower025_perm_covar	-0.07	-0.0329	-0.0268	-0.0242	-0.0201	-0.0278	-0.0211	-0.0197	-0.0282	-0.0197	-0.02	-0.0256	-0.0236	-0.0211	-0.0283
