	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0062	0.0163	0.0062	-0.0003	0.0086	0.007	0.0005	0.0028	0.0101	-0.0004	0.0107	-0.0004	0.0125	0.0007	0.0009
direct_vc_estimate_se	0.0074	0.004	0.0025	0.0026	0.0023	0.0025	0.002	0.0024	0.0025	0.0023	0.0022	0.0025	0.0023	0.0022	0.0024
direct_vc_pvals	0.402	0.064	0.137	0.823	0.083	0.157	0.536	0.285	0.131	0.909	0.038	0.944	0.072	0.563	0.511
upper975_perm_direct	0.0576	0.0274	0.0156	0.0185	0.0164	0.023	0.0145	0.0157	0.0252	0.0132	0.0149	0.0259	0.0218	0.0167	0.0145
lower025_perm_direct	-0.0016	-0.0009	-0.0006	-0.0006	-0.0005	-0.0005	-0.0004	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005	-0.0005
sad_vc_estimate	-0.0014	-0.0008	-0.0003	-0.0004	-0.0001	-0.0002	-0.0001	-0.0001	-0.0001	0.0001	0.0009	0.0025	-0.0002	0.0	-0.0002
sad_vc_estimate_se	0.0078	0.0042	0.0027	0.0028	0.0024	0.0026	0.0022	0.0025	0.0026	0.0024	0.0023	0.0026	0.0025	0.0023	0.0025
sad_vc_pvals	0.972	0.961	0.628	0.725	0.391	0.549	0.388	0.438	0.544	0.322	0.103	0.065	0.602	0.431	0.612
upper975_perm_sad	0.0111	0.0046	0.003	0.0034	0.002	0.0044	0.0022	0.0025	0.0045	0.0029	0.0023	0.0043	0.004	0.003	0.0047
lower025_perm_sad	-0.0018	-0.001	-0.0006	-0.0006	-0.0006	-0.0006	-0.0005	-0.0006	-0.0006	-0.0005	-0.0005	-0.0006	-0.0006	-0.0005	-0.0006
covar_vc_estimate	0.003	0.0018	0.003	0.0012	-0.0027	-0.0021	-0.0003	-0.0012	-0.003	0.0011	-0.007	0.0003	-0.0025	-0.0006	-0.0003
covar_vc_estimate_se	0.0772	0.0564	0.0446	0.0456	0.0424	0.0443	0.0401	0.0433	0.0443	0.0421	0.0415	0.0441	0.0429	0.0415	0.0434
covar_vc_pvals	0.258	0.256	0.027	0.242	0.146	0.259	0.343	0.224	0.225	0.245	0.022	0.413	0.201	0.349	0.414
upper975_perm_covar	0.0106	0.006	0.0035	0.004	0.003	0.0043	0.0025	0.0041	0.0047	0.0038	0.0041	0.004	0.0052	0.0038	0.0043
lower025_perm_covar	-0.0391	-0.0148	-0.0105	-0.0104	-0.0098	-0.0161	-0.0085	-0.0085	-0.0167	-0.0076	-0.0078	-0.016	-0.0116	-0.0107	-0.0115
