	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.4121	0.0068	0.0049	-0.0029	-0.0006	0.0064	-0.0	-0.0004	-0.0002	0.0032	0.0013	-0.0003	-0.0002	0.0005	0.0024
direct_vc_estimate_se	0.2047	0.0944	0.0441	0.0315	0.0069	0.0062	0.0043	0.0035	0.0032	0.0029	0.0029	0.0029	0.0027	0.0027	0.0025
direct_vc_pvals	0.013	0.421	0.388	0.76	0.781	0.055	0.523	0.905	0.685	0.047	0.17	0.963	0.698	0.34	0.059
upper975_perm_direct	0.5719	0.2686	0.1209	0.0665	0.0233	0.0168	0.0112	0.0104	0.008	0.0085	0.0076	0.0081	0.0068	0.0078	0.0073
lower025_perm_direct	-0.0496	-0.023	-0.0106	-0.0076	-0.0016	-0.0015	-0.001	-0.0008	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006	-0.0006
sad_vc_estimate	-0.0104	0.0377	-0.0054	0.0273	0.0001	0.0018	-0.0004	-0.0004	-0.0002	0.0001	0.0024	0.0004	0.0016	-0.0002	0.0001
sad_vc_estimate_se	0.213	0.0983	0.046	0.0328	0.0072	0.0065	0.0045	0.0037	0.0034	0.003	0.0031	0.003	0.0029	0.0028	0.0027
sad_vc_pvals	0.511	0.063	0.945	0.013	0.382	0.093	0.623	0.851	0.614	0.327	0.015	0.22	0.037	0.537	0.298
upper975_perm_sad	0.2823	0.1198	0.0625	0.0359	0.0128	0.0071	0.0055	0.0043	0.0046	0.004	0.0037	0.0037	0.0035	0.0034	0.0032
lower025_perm_sad	-0.0517	-0.0238	-0.0112	-0.0079	-0.0017	-0.0016	-0.0011	-0.0009	-0.0008	-0.0007	-0.0007	-0.0007	-0.0007	-0.0007	-0.0006
covar_vc_estimate	-0.1121	0.0817	0.0095	-0.0026	0.0025	0.0101	0.0005	0.0009	0.0011	0.0033	0.0049	0.0006	0.0016	-0.0001	-0.0016
covar_vc_estimate_se	0.5177	0.2864	0.1717	0.1394	0.0597	0.0566	0.0467	0.0421	0.0404	0.0382	0.0384	0.0379	0.0371	0.0367	0.0357
covar_vc_pvals	0.142	0.001	0.356	0.311	0.048	0.0	0.484	0.154	0.077	0.0	0.0	0.351	0.005	0.382	0.109
upper975_perm_covar	0.1448	0.0777	0.0405	0.0253	0.006	0.0056	0.0034	0.0028	0.0027	0.0023	0.0026	0.0026	0.0024	0.0023	0.0024
lower025_perm_covar	-0.7117	-0.2917	-0.1456	-0.0837	-0.0291	-0.0168	-0.0117	-0.0121	-0.0097	-0.0103	-0.0084	-0.009	-0.0077	-0.0093	-0.0073
