	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0024	0.0142	-0.0031	0.0064	0.0078	-0.0031	-0.0025	-0.0028	0.0093	-0.0008	0.0054	-0.0021	0.0015	-0.0006	-0.0024
direct_vc_estimate_se	0.1994	0.0906	0.0698	0.0646	0.0624	0.0611	0.0609	0.0608	0.0607	0.0607	0.0604	0.0606	0.0603	0.0603	0.0602
direct_vc_pvals	0.35	0.071	0.796	0.132	0.11	0.96	0.737	0.796	0.107	0.466	0.184	0.676	0.32	0.439	0.722
upper975_perm_direct	0.2411	0.0881	0.0789	0.0618	0.0655	0.0773	0.0803	0.0804	0.0849	0.0718	0.0668	0.0709	0.0603	0.075	0.0728
lower025_perm_direct	-0.0385	-0.0177	-0.0134	-0.0126	-0.012	-0.0119	-0.0116	-0.0119	-0.0117	-0.0117	-0.0116	-0.0116	-0.0115	-0.0116	-0.0118
sad_vc_estimate	0.0952	0.3703	0.0173	-0.0031	-0.0026	-0.0023	-0.0023	0.0003	0.0047	0.0023	0.0042	-0.0032	-0.0032	-0.0015	0.0015
sad_vc_estimate_se	0.2091	0.0951	0.0734	0.0678	0.0657	0.0641	0.0639	0.0638	0.0638	0.0637	0.0634	0.0636	0.0633	0.0634	0.0631
sad_vc_pvals	0.008	0.0	0.031	0.793	0.677	0.627	0.642	0.362	0.199	0.232	0.211	0.972	0.931	0.536	0.288
upper975_perm_sad	0.2187	0.0854	0.0732	0.0623	0.0616	0.0667	0.0707	0.0722	0.063	0.0701	0.0662	0.0587	0.057	0.0679	0.0763
lower025_perm_sad	-0.0405	-0.0183	-0.0143	-0.0132	-0.0126	-0.0123	-0.0124	-0.0125	-0.0123	-0.0122	-0.0125	-0.0123	-0.0123	-0.0125	-0.0124
covar_vc_estimate	-0.0524	0.177	0.0128	0.0099	0.0006	0.006	0.0076	0.0041	-0.0137	-0.0009	-0.0097	0.0063	0.0053	0.002	0.0025
covar_vc_estimate_se	0.4487	0.2282	0.1853	0.1744	0.17	0.167	0.1666	0.1665	0.1663	0.1662	0.1657	0.166	0.1654	0.1655	0.1651
covar_vc_pvals	0.092	0.0	0.0	0.0	0.388	0.182	0.005	0.416	0.143	0.332	0.189	0.092	0.292	0.464	0.49
upper975_perm_covar	0.0857	0.0408	0.0298	0.027	0.027	0.026	0.0258	0.0257	0.0256	0.0253	0.0256	0.0263	0.0253	0.0258	0.0251
lower025_perm_covar	-0.4126	-0.159	-0.1456	-0.1162	-0.1257	-0.1421	-0.1392	-0.1537	-0.14	-0.1307	-0.1299	-0.1197	-0.1134	-0.1365	-0.1471
