	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.0105	0.0392	0.005	0.0002	0.0054	0.0074	0.0006	-0.0001	0.0083	-0.0007	0.0122	0.0043	0.0081	0.001	-0.0004
direct_vc_estimate_se	0.0142	0.007	0.0047	0.0046	0.0044	0.0049	0.0046	0.0047	0.0046	0.0042	0.0041	0.0046	0.0045	0.0042	0.0041
direct_vc_pvals	0.274	0.007	0.19	0.588	0.171	0.165	0.473	0.657	0.137	0.969	0.047	0.307	0.157	0.459	0.788
upper975_perm_direct	0.057	0.0297	0.0202	0.0177	0.018	0.0201	0.0122	0.0169	0.0213	0.015	0.0194	0.027	0.0235	0.0181	0.0191
lower025_perm_direct	-0.0028	-0.0014	-0.0009	-0.0009	-0.0009	-0.0009	-0.0009	-0.0009	-0.0009	-0.0008	-0.0008	-0.0009	-0.0009	-0.0008	-0.0008
sad_vc_estimate	0.0025	-0.0009	0.0002	-0.0003	0.0002	-0.0003	0.0002	-0.0008	-0.0007	0.0016	0.0024	0.0043	-0.0004	-0.0001	-0.0005
sad_vc_estimate_se	0.015	0.0073	0.005	0.0049	0.0046	0.0051	0.0048	0.0049	0.0049	0.0044	0.0043	0.0049	0.0047	0.0044	0.0043
sad_vc_pvals	0.248	0.649	0.332	0.497	0.307	0.502	0.276	0.998	0.826	0.111	0.058	0.051	0.608	0.455	0.731
upper975_perm_sad	0.0177	0.0075	0.0054	0.005	0.0046	0.0051	0.0041	0.005	0.0047	0.0046	0.0042	0.0074	0.0065	0.0059	0.0067
lower025_perm_sad	-0.003	-0.0015	-0.001	-0.001	-0.0009	-0.001	-0.001	-0.001	-0.001	-0.0009	-0.0009	-0.001	-0.001	-0.0009	-0.0009
covar_vc_estimate	0.0203	0.0089	0.0063	0.0002	-0.0033	-0.0025	-0.0009	0.0015	0.0029	0.0011	-0.0113	-0.0087	-0.0021	-0.0007	0.0009
covar_vc_estimate_se	0.101	0.0693	0.0567	0.056	0.0546	0.0576	0.0557	0.0562	0.056	0.0534	0.0527	0.0562	0.0552	0.0532	0.0528
covar_vc_pvals	0.007	0.007	0.002	0.414	0.142	0.228	0.235	0.321	0.096	0.432	0.031	0.101	0.294	0.363	0.413
upper975_perm_covar	0.0187	0.0079	0.005	0.0052	0.0052	0.0057	0.0055	0.0056	0.0052	0.0056	0.0048	0.0059	0.0055	0.0049	0.0047
lower025_perm_covar	-0.0466	-0.0216	-0.016	-0.0126	-0.0139	-0.0151	-0.0094	-0.0131	-0.0148	-0.0103	-0.0146	-0.0214	-0.0207	-0.0135	-0.018
