	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
direct_vc_estimate	0.1914	0.0104	-0.0022	0.0016	-0.0004	0.0021	-0.0002	0.001	0.0007	0.0022	0.0001	0.0005	0.0	-0.0001	0.0004
direct_vc_estimate_se	0.0549	0.0267	0.0119	0.0084	0.0019	0.0017	0.0011	0.001	0.0008	0.0008	0.0008	0.0008	0.0007	0.0006	0.0007
direct_vc_pvals	0.077	0.512	0.965	0.518	0.963	0.341	0.916	0.378	0.349	0.129	0.627	0.517	0.588	0.89	0.402
upper975_perm_direct	0.2842	0.158	0.074	0.0425	0.0151	0.013	0.0059	0.0076	0.0045	0.0051	0.0052	0.008	0.0035	0.0038	0.0044
lower025_perm_direct	-0.0122	-0.0058	-0.0026	-0.0018	-0.0004	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0001	-0.0001	-0.0001
sad_vc_estimate	0.0042	-0.0045	-0.0016	0.0024	-0.0003	-0.0003	-0.0001	-0.0002	0.001	0.0	-0.0002	0.0	0.0003	-0.0001	-0.0001
sad_vc_estimate_se	0.0583	0.0283	0.0126	0.0089	0.002	0.0018	0.0012	0.0011	0.0009	0.0009	0.0009	0.0009	0.0007	0.0007	0.0007
sad_vc_pvals	0.287	0.73	0.566	0.156	0.785	0.967	0.542	0.72	0.05	0.4	0.894	0.397	0.138	0.591	0.528
upper975_perm_sad	0.0702	0.0328	0.0106	0.008	0.0035	0.0027	0.0012	0.0012	0.0014	0.0012	0.0016	0.0013	0.0009	0.0007	0.0007
lower025_perm_sad	-0.0132	-0.0064	-0.0028	-0.002	-0.0005	-0.0004	-0.0003	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002	-0.0002
covar_vc_estimate	-0.0904	0.0181	0.0042	-0.0041	0.0007	0.0006	0.0004	0.0008	-0.0016	-0.001	0.0002	-0.0004	0.0008	0.0003	-0.0001
covar_vc_estimate_se	0.2392	0.1576	0.1016	0.0848	0.0399	0.0374	0.0308	0.0287	0.026	0.026	0.0261	0.0263	0.0237	0.0231	0.0237
covar_vc_pvals	0.101	0.226	0.465	0.231	0.349	0.381	0.471	0.115	0.092	0.169	0.424	0.354	0.076	0.311	0.214
upper975_perm_covar	0.0827	0.0526	0.0211	0.0107	0.0035	0.0028	0.0024	0.0016	0.0014	0.0012	0.0016	0.0011	0.0013	0.0013	0.0016
lower025_perm_covar	-0.2057	-0.1028	-0.0366	-0.0276	-0.0107	-0.0078	-0.0032	-0.0043	-0.0032	-0.0033	-0.0038	-0.0053	-0.0021	-0.002	-0.0016
